speciality,location,name,experience,clinic_name,doctor_address,consultation_fee,recommendation_percent,patient_stories,doctor_url,detailed_qualifications,contact_number
Ayurveda,Delhi,Dr. Mahesh Shah,56,Hakim Hari Kishan Lal Dawakhana,"Patel Nagar East,",50,93%,610,https://www.practo.com/delhi/doctor/dr-shah-4-sexologist?practice_id=688515&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,93% 
Ayurveda,Delhi,Dr. Sudha Asokan,47,Dr. Sudha''s Ayurveda Kendra,"Safdarjung Enclave,",1500,96%,625,https://www.practo.com/delhi/doctor/dr-sudha-asokan-ayurveda-1?practice_id=654473&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,MD - Ayurveda Medicine,96% 
Ayurveda,Delhi,Dr. Vijay Abbot,51,Hakim Hari Kishan Lal Dawakhana,"Patel Nagar East,",50,82%,416,https://www.practo.com/delhi/doctor/dr-vijay-abbot-sexologist?practice_id=688515&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,G.A.M.S,82% 
Ayurveda,Delhi,Dr. Anjana Kalia,24,Dr Anjana Kalia''s Diet clinic,"Dwarka,",1000,99%,214,https://www.practo.com/delhi/doctor/anjana-kalia-ayurveda-1?practice_id=983710&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,"BAMS, Fellowship in Applied Nutrition(FAN)",99% 
Ayurveda,Delhi,Dr. S K Singh,39,Sushruta Anorectal Institute,"Rohini,",2500,89%,1134,https://www.practo.com/delhi/doctor/dr-s-k-singh-ayurveda?practice_id=725617&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,"BAMS, MS - Ayurvedic General Surgery",89% 
Ayurveda,Delhi,Dr. Madhu Sudan,16,Dr.MadhuSudan''s Arogya Clinic,"Kalkaji,",1000,89%,305,https://www.practo.com/delhi/doctor/dr-madhu-sudan-sexologist?practice_id=711544&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,89% 
Ayurveda,Delhi,Dr. Ajay Pal Singh,17,Ajay Health Clinic,"Tilak Nagar,",1500,86%,149,https://www.practo.com/delhi/doctor/ajay-pal-singh-sexologist?practice_id=1144784&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,86% 
Ayurveda,Delhi,Dr. Naveen CR,15,Kurias Earth Multispeciality Ayurveda Hospital Pvt. Ltd.,"Green Park,",1000,91%,86,https://www.practo.com/delhi/doctor/naveen-c-r-ayurveda-1?practice_id=652426&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,91% 
Ayurveda,Delhi,Dr. Shyla Vahab,31,Amaltas Ayurveda,"Dwarka Sector 13,",500,94%,70,https://www.practo.com/delhi/doctor/shyla-vahab-ayurveda?practice_id=1295047&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,94% 
Ayurveda,Delhi,Dr. Vipin Kumar,42,Hakim Hari Kishan Lal Dawakhana,"Patel Nagar East,",50,96%,101,https://www.practo.com/delhi/doctor/vipin-kumar-sexologist?practice_id=688515&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,96% 
Ayurveda,Delhi,Dr. Anish Kurias,24,Kurias Earth Multispeciality Ayurveda Hospital Pvt. Ltd.,"Green Park,",1000,96%,69,https://www.practo.com/delhi/doctor/dr-anish-kurias-ayurveda-toxicologist?practice_id=652426&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,96% 
Ayurveda,Delhi,Dr. Hitendra Singh Gautam,18,Virog Ayurveda,"Lajpat Nagar 4,",500,98%,48,https://www.practo.com/delhi/doctor/hitendra-singh-gautam-ayurveda-1?practice_id=1418927&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,98% 
Ayurveda,Delhi,Dr. Jyoti Arora Monga,25,Dr. Monga Clinic,"Lajpat Nagar,",800,87%,1208,https://www.practo.com/delhi/doctor/dr-jyoti-arora-ayurveda?practice_id=693424&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,87% 
Ayurveda,Delhi,Dr. Priyanka Oli,5,Sankalp Ayurveda Clinic,"Dwarka Sector 14,",800,100%,6,https://www.practo.com/delhi/doctor/priyanka-oli-ayurveda-2?practice_id=1465777&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Surendra Nath Sharma,18,Dr. Sharma''s Clinical Research And Ayurvedic Specialities,"Vasant Kunj,",3000,100%,5,https://www.practo.com/delhi/doctor/surendra-nath-sharma-ayurveda-2?practice_id=1457624&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Praveen Rustagi,29,Adopt The Ayurveda,"Malviya Nagar,",500,94%,120,https://www.practo.com/delhi/doctor/dr-praveen-rustagi-ayurveda?practice_id=1121150&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,"BAMS, DNHE",94% 
Ayurveda,Delhi,Dr. Aruna Sharma,31,Anukesh Ayurveda & Beauty Clinic,"Ranjit Nagar,",1000,100%,18,https://www.practo.com/delhi/doctor/dr-aruna-sharma-ayurveda?practice_id=651592&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,100% 
Ayurveda,Delhi,Dr. Rakesh Gupta,23,Centre for Piles & Fistula,"Rohini,",500,97%,271,https://www.practo.com/delhi/doctor/dr-rakesh-gupta-ayurveda?practice_id=825935&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,97% 
Ayurveda,Delhi,Dr. Vinod Kumar,37,Dr Singh Clinic,"Laxmi Nagar,",500,86%,14,https://www.practo.com/delhi/doctor/dr-vinod-kumar-15-ayurveda?practice_id=1404057&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,86% 
Ayurveda,Delhi,Dr. Devika Khatak,15,Jiva Ayurveda Clinic,"Pitampura,",Not available,100%,1,https://www.practo.com/delhi/doctor/dr-devika-khatak-ayurveda?practice_id=1389167&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Ravinder Sharma,18,Piles To Smiles,"Vasant Kunj,",500,100%,5,https://www.practo.com/delhi/doctor/ravinder-sharma-gastroentrology-surgeon-1?practice_id=1463038&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Richa Agarwal,16,Ayur Yog Ayurvedic Clinic and Panchakarma Centre,"Malviya Nagar,",500,100%,11,https://www.practo.com/delhi/doctor/dr-richa-agarwal-ayurveda?practice_id=1124460&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,100% 
Ayurveda,Delhi,Dr. Sunil Tomar,17,Dr Monga Medi Clinic,"Rajouri Garden,",800,56%,9,https://www.practo.com/delhi/doctor/dr-sunil-tomar-ayurveda?practice_id=1168318&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Divakar Singh,31,Varun Herbal Clinic,"Connaught Place,",800,100%,1,https://www.practo.com/delhi/doctor/divakar-singh-sexologist-ayurveda?practice_id=837765&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Ravinder Kumar,20,JIVA Ayurveda,"Shahdara,",299,67%,15,https://www.practo.com/delhi/doctor/dr-ravinder-kumar-ayurveda?practice_id=1182996&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,67% 
Ayurveda,Delhi,Dr. Manju Singh,31,Varun Herbal Clinic,"Connaught Place,",1000,96%,115,https://www.practo.com/delhi/doctor/varunherbalclinic-gmail-com-ayurveda?practice_id=837765&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,96% 
Ayurveda,Delhi,Dr. Siddhant Singh,2,Bmsd Healthcare,"Pitampura,",500,75%,4,https://www.practo.com/delhi/doctor/dr-dr-siddhant-singh-ayurveda?practice_id=694185&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Bimal Murali C,12,Jiva Ayurveda Clinic Dwarka,"Dwarka,",Not available,Not available,Not available,https://www.practo.com/delhi/doctor/bimal-murali-c-ayurveda?practice_id=1183000&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Ruchi Gupta,24,Centre for Piles & Fistula,"Rohini,",500,84%,68,https://www.practo.com/delhi/doctor/dr-ruchi-gupta-1-ayurveda?practice_id=825935&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,+911142213847
Ayurveda,Delhi,Dr. Shraddha Jain,17,JIVA Ayurveda,"Patel Nagar West,",Not available,Not available,Not available,https://www.practo.com/delhi/doctor/dr-shraddha-jain-ayurveda?practice_id=1182997&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Jayant Kumar,3,Divyarishi Aarogyam Sansthan LLP,"Pitampura,",Not available,Not available,Not available,https://www.practo.com/delhi/doctor/jaya-singh-ayurveda?practice_id=1247830&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Rimpi Sinha,10,GRG Healthcare Private Limited,"Patel Nagar West,",500,Not available,Not available,https://www.practo.com/delhi/doctor/dr-rimpi-sinha-ayurveda?practice_id=1371709&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Kanchan Pathania,12,JIVA Ayurveda,"Shahdara,",500,Not available,Not available,https://www.practo.com/delhi/doctor/dr-kanchan-pathania-ayurvedic-preventive-medicine-specialist?practice_id=1182996&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Kajal Dhingra,11,Ayurveda Clinic,"Vasant Kunj,",1000,100%,1,https://www.practo.com/delhi/doctor/kajal-dhingra-ayurveda?practice_id=1295816&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Rajiv Relhan,38,Doctors plaza,"Punjabi Bagh,",1500,100%,2,https://www.practo.com/delhi/doctor/rajeeiv-relhan-acupuncturist?practice_id=1261374&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,"BAMS, MD - Ayurveda Medicine, Diploma in Acupuncture",
Ayurveda,Delhi,Dr. Amit Kumar Dubey,19,JIVA Ayurveda,"Karol Bagh,",Not available,100%,1,https://www.practo.com/delhi/doctor/dr-amit-kumar-dubey?practice_id=1183033&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,+911141169524
Ayurveda,Delhi,Dr. Gyanendra Singh,4,Doctors Plaza,"East Of Kailash,",1000,Not available,Not available,https://www.practo.com/delhi/doctor/gyanendra-singh-ayurveda?practice_id=1434804&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,
Ayurveda,Delhi,Dr. Abhishek Yadav,5,JIVA Ayurveda,"Kalkaji,",500,Not available,Not available,https://www.practo.com/delhi/doctor/dr-abhishek-yadav-ayurveda?practice_id=1182998&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,BAMS,+911140036747
Ayurveda,Delhi,Dr. Sugeeta Mutreja,25,"Dr Sugeeta Mutreja""s Diet & Nutrition Clinic","Dwarka,",1000,99%,311,https://www.practo.com/delhi/doctor/sugeeta-mutreja-dietitian-nutritionist?practice_id=1010860&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,"BAMS, DNHE",Not available
Ayurveda,Delhi,Dr. Rajni Khantwal Pant,31,Eudaimonic Wellbeing,"Dwarka Sector 7,",1500,98%,82,https://www.practo.com/delhi/doctor/rajni-pant-ayurvedic-psychiatrist?practice_id=1475258&specialization=Ayurveda&referrer=doctor_listing&page_uid=2391c2e8-375d-4be5-b2a3-15038543b2fb,"BAMS, PG Diploma in Counselling Psychology, MS - Counselling and Psychotherapy",98% 
